"state","acgr_2011","acgr_2012","acgr_2013","acgr_2014","acgr_2015","acgr_2016","acgr_2017","acgr_2018","acgr_2019","acgr_2020","acgr_2021","alcohol_2011","alcohol_2013","alcohol_2015","alcohol_2017","bully_2009","bully_2011","bully_2013","bully_2015","bully_2017","cyberbully_2009","cyberbully_2011","cyberbully_2013","cyberbully_2015","cyberbully_2017","weapon_2011","weapon_2013","weapon_2015","weapon_2017","Total_2011","Total_2013","Total_2015","Total_2017","Total_2019","Total_2021","Male_2011","Male_2013","Male_2015","Male_2017","Male_2019","Male_2021","Female_2011","Female_2013","Female_2015","Female_2017","Female_2019","Female_2021","Native_2011","Native_2013","Native_2015","Native_2017","Native_2019","Native_2021","Asian_2011","Asian_2013","Asian_2015","Asian_2017","Asian_2019","Asian_2021","Black_2011","Black_2013","Black_2015","Black_2017","Black_2019","Black_2021","Hispanic_2011","Hispanic_2013","Hispanic_2015","Hispanic_2017","Hispanic_2019","Hispanic_2021","Islander_2011","Islander_2013","Islander_2015","Islander_2017","Islander_2019","Islander_2021","White_2011","White_2013","White_2015","White_2017","White_2019","White_2021","Other_2011","Other_2013","Other_2015","Other_2017","Other_2019","Other_2021","Heterosexual_2011","Heterosexual_2013","Heterosexual_2015","Heterosexual_2017","Heterosexual_2019","Heterosexual_2021","Homosexual_2011","Homosexual_2013","Homosexual_2015","Homosexual_2017","Homosexual_2019","Homosexual_2021","Bisexual_2011","Bisexual_2013","Bisexual_2015","Bisexual_2017","Bisexual_2019","Bisexual_2021","Undecided_2011","Undecided_2013","Undecided_2015","Undecided_2017","Undecided_2019","Undecided_2021","Other/questioning_2011","Other/questioning_2013","Other/questioning_2015","Other/questioning_2017","Other/questioning_2019","Other/questioning_2021","9th_2011","9th_2013","9th_2015","9th_2017","9th_2019","9th_2021","10th_2011","10th_2013","10th_2015","10th_2017","10th_2019","10th_2021","11th_2011","11th_2013","11th_2015","11th_2017","11th_2019","11th_2021","12th_2011","12th_2013","12th_2015","12th_2017","12th_2019","12th_2021"
"United States",80,81.4,82.3,83.2,84.1,84.6,85.3,85.8,86.5,86.1,86.6,38.72,34.91,32.77,29.77,19.9,20.1,19.6,20.19,19.04,NA,16.2,14.8,15.5465,14.94,7.43,6.91,5.97,5.97,7.42802,6.909931,5.966947,5.97382760880894,7.37140502205804,6.58301158544468,9.5104,7.732051,7.031653,7.77672871244026,8.04467369088443,7.0078252391862,5.16481,6.087698,4.620296,4.10709576085791,6.5065959167895,5.91160409604396,8.17203,18.489814,8.217892,13.7130632242237,12.5964612484388,8.26005167284967,6.96775,5.308805,3.615305,4.34107179522007,3.17269949251369,3.23927588625016,8.90298,8.413937,7.92728,7.84227576187294,8.79069508826073,7.87225087173071,9.20422,8.493844,6.564473,6.13665449627667,6.89997586792938,6.51984056124988,11.31083,8.703469,20.466458,6.95889110294004,12.3375673309158,NA,6.14562,5.803975,4.883104,5.04757894087048,7.09808606140219,6.23861540598958,9.85268,7.667554,7.99486,7.9710889601114,11.4119413241171,8.49206540942631,NA,NA,5.14407898695267,5.35074745671878,6.33463063671016,5.71123741254605,NA,NA,13.3685553807375,8.95656070820946,15.4936106782047,8.71471364240512,NA,NA,8.90124739942546,9.48510161633908,10.8933545454545,8.12496532569414,NA,NA,12.572979629349,11.0784661417176,12.9207055317854,NA,NA,NA,NA,NA,NA,8.28303789287183,8.29995,8.506424,7.172516,6.84681513442193,8.09674343177894,6.18871321946625,7.65475,6.972442,6.19175,6.75400559140972,7.97593255575331,7.3536716713999,7.28327,6.81107,5.497287,5.0647954729908,7.07727210169311,7.28909676114013,5.89745,4.941072,4.445922,4.6448742117028,5.86726298236255,4.98415628598525
"Alabama",75,80,86.3,89.3,87.1,89.3,90,91.7,90.6,90.7,88.2,35.64,35.04,30.66,NA,19.3,14.1,20.8,19.02,NA,NA,12.3,13.5,13.46,NA,7.61,9.89,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alaska",70,71.8,71.1,75.6,76.1,78.2,78.5,80.4,79.1,78.2,77.8,28.56,22.54,22,22.8,20.7,23,20.7,22.81,23.26,NA,15.3,14.7,17.67,19.77,5.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona",76,75.1,75.7,77.4,79.5,78,78.7,77.8,77.3,76.4,77.3,43.77,36.01,34.78,33.15,NA,NA,NA,NA,19.24,NA,NA,NA,NA,15.19,10.36,9.07,7.46,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arkansas",84,84.9,86.9,84.9,87,88,89.2,87.6,88.8,88.4,88.2,33.87,36.29,27.55,25.74,NA,21.9,25,22.9,26.65,NA,16.7,17.6,18.19,19.71,6.26,10.89,10.6,11.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California",79,80.4,81,82,83,82.7,83,84.5,84.3,83.6,87,NA,NA,28.86,30.02,NA,NA,NA,18.47,17.94,NA,NA,NA,13.49,13.59,NA,NA,5.18,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colorado",75,76.9,77.3,77.3,78.9,79.1,80.8,81.1,81.9,81.7,82.3,36.41,NA,NA,26.22,18.8,19.3,NA,NA,18,NA,14.4,NA,NA,14.52,6.68,NA,NA,5.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connecticut",85,85.5,87,87.2,87.4,87.9,88.4,88.5,88.3,89.6,88.9,41.54,36.74,30.2,30.41,NA,21.6,21.9,18.61,18.9,NA,16.3,17.5,13.88,15.79,6.76,7.12,6.7,7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delaware",80,80.4,87,85.6,85.5,86.9,86.9,89,89,80.5,87.8,40.41,36.33,31.44,28.74,15.9,16.5,18.5,16.4,14.09,NA,NA,13.4,11.66,10.11,6.39,5.58,6.17,5.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida",75,75.6,76.1,77.9,80.7,82.3,86.3,87.2,90.2,90.2,87.3,36.97,34.85,33.04,27.04,13.4,14,15.7,15,14.3,NA,12.4,12.3,11.58,11.55,7.22,7.14,7.35,8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Georgia",70,71.7,72.5,78.8,79.4,80.6,81.6,82,83.8,83.7,84.1,34.56,27.88,NA,NA,NA,19.1,19.5,NA,NA,NA,13.6,13.9,NA,NA,11.69,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",81,82.4,81.8,81.6,82.7,82.7,84.5,85.2,86.3,86,86,29.05,25.15,25.15,24.54,NA,20.3,18.7,18.57,18.39,NA,14.9,15.6,14.69,14.55,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Idaho",NA,NA,77.3,78.9,79.7,79.7,80.7,80.8,82.2,80.1,79.9,36.24,28.28,28.28,26.52,22.3,22.8,25.4,26.02,25.81,NA,17,18.8,21.08,20.27,7.28,5.79,6.13,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Illinois",82,83.2,86,85.6,85.5,87,86.5,86.2,NA,NA,87.3,37.81,36.58,30.71,27.37,19.6,19.3,22.2,19.61,21.37,NA,16,16.9,15.27,17.34,7.64,8.5,6.64,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indiana",86,87,87.9,87.1,86.8,83.8,88.1,87.2,90.9,88.2,87.7,33.45,NA,30.54,NA,22.8,25,NA,18.67,NA,NA,18.7,NA,15.72,NA,6.78,NA,6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iowa",89,89.7,90.5,90.8,91.3,91,91.4,91.6,91.8,90.2,89.9,37.06,NA,NA,27.58,NA,22.5,NA,NA,23.25,NA,16.8,NA,NA,17.96,6.26,NA,NA,8.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kansas",85,85.7,85.7,85.7,85.7,86.5,87.2,87.2,88.2,87.9,89.1,32.62,27.6,NA,29.9,18.5,20.5,22.1,NA,19.82,NA,15.5,16.9,NA,15.77,5.55,5.34,NA,5.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kentucky",NA,86.1,87.5,88,88.6,89.7,90.3,90.6,91.1,90.2,90.1,34.55,30.37,28.48,26.61,20.8,18.9,21.4,22.05,21.2,NA,17.4,13.2,17.02,18.24,7.39,5.37,7.24,7.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Louisiana",72,73.5,74.6,77.5,78.6,78.1,81.4,80.1,82.9,82.1,83.1,44.39,38.58,NA,33.95,15.9,19.2,24.2,NA,23.78,NA,18,16.9,NA,21.25,8.68,10.53,NA,12.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maine",85,86.4,86.5,87.5,87,86.9,86.7,87.4,87.4,86.1,86.1,28.67,26.63,24.01,22,22.4,22.4,24.2,23.15,21.75,NA,19.7,20.6,18.87,17.77,6.79,5.26,5.2,5.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maryland",84,85,86.4,87,87.6,87.7,87.1,86.9,86.8,87.2,86.3,34.83,31.24,26.13,25.53,20.9,21.2,19.6,17.72,18.16,NA,14.2,14,13.8,14.14,8.37,9.43,7.25,7.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massachusetts",85,85,86.1,87.3,87.5,88.3,87.8,88,89,89.8,90.1,40.14,35.6,33.86,31.39,19.4,18.1,16.6,15.61,14.61,NA,NA,13.8,13.01,13.61,6.79,4.35,4.06,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
